art_id,retransmit_total,efficacy,useful,positivity_sv,positivity_word,controversial,aroused,ln_emotionality_word,novelty,disease,headline_wc,teaser_wc,total_wc,pres_time
1,391,1,4.2222223,2.9285715,-4,2.1666667,1.1111112,1.6094379,2.5555556,1,6,24,30,10
2,347,1,3.4000001,2.9857142,-2,2.9000001,1.45,1.6094379,2.6666665,1,6,27,33,12
3,45,0,3.3636363,2.4610391,-2,3.5454545,1.2272727,1.0986123,3.1060605,0,8,27,35,12
4,680,0,3.6818182,2.7597404,1,3.0454545,1.6363636,0.69314718,2.409091,0,6,27,33,12
5,83,0,3.3599999,3.1942859,1,2.4000001,1.36,0.69314718,2.6933334,0,8,25,33,10
6,3547,1,4.1764708,3.4873948,-1,2.3529413,1.7647059,0.69314718,3.1176469,0,5,30,35,12
7,56,0,3.7222223,2.9523809,0,2.7222223,1.3888888,0,3.0555556,1,7,18,25,8
8,281,0,3.2105262,3.8421054,1,1.7894737,1.9473684,0.69314718,3.1578948,1,8,27,35,12
9,6520,0,2.8823528,2.8655462,-1,2.7058823,1.2352941,0.69314718,2.137255,0,6,20,26,8
10,373,0,3.7222223,2.3809524,-2,3,1.3333334,1.0986123,2.7962964,1,6,24,30,12
11,236,0,2.2272727,3.0129869,0,2.1363637,1.3636364,1.6094379,2.0454545,0,6,22,28,10
12,856,0,3.4210527,2.7142856,0,2.8421052,1.3157895,0,3.2631578,1,9,25,34,10
13,1118,0,3.8,3.2214286,0,4.0500002,1.6,0,2.5,1,12,22,34,12
14,776,1,3.8636363,3.0064936,2,2,1.2272727,1.0986123,2.3636365,0,4,29,33,10
15,837,1,3.4666667,3.1523809,0,2.3333333,1.4,1.0986123,2.8444445,0,7,14,21,8
16,278,1,3.2413793,3.0147781,-2,3.1379311,1.2758621,1.0986123,2.2413793,1,5,28,33,12
17,1187,0,3.8399999,3.0285716,3,2.24,1.48,1.3862944,2.7066667,0,5,24,29,10
18,188,0,2.8,2.9333334,1,2.1333334,1.4,0.69314718,2.2222223,0,8,18,26,10
19,8351,1,3.4444444,3.3492064,0,2.4444444,1.4444444,1.0986123,2.2592592,0,5,20,25,8
20,1929,1,3.5652175,3.1614907,1,2.1304348,1.5652174,0.69314718,2.3913043,0,8,24,32,10
21,193,0,2.55,2.942857,0,3.05,1.45,0,2.2833333,0,4,22,26,8
22,918,0,3.6086957,2.8198757,1,2.7826087,1.5652174,1.3862944,3.5217392,0,8,18,26,8
23,4809,0,3.7647059,2.8655462,2,3.8235295,1.6470588,1.0986123,3.1764705,1,7,24,31,12
24,382,0,3.9166667,2.25,-1,3.125,1.8333334,0.69314718,3.1666665,1,7,27,34,10
25,170,1,3.4444444,2.9126985,0,3.6111112,1.2222222,0,3.1481481,0,6,19,25,10
26,3112,1,3.6470587,3.4285712,0,2.5294118,1.8235294,0,2.8823531,0,8,16,24,8
27,172,0,3.7727273,2.7077923,0,2.909091,1.6818181,0,3.3484848,1,6,21,27,10
28,469,1,3.3684211,2.8195488,1,3.1052632,1.4210526,0.69314718,2.3684211,0,7,27,34,12
29,305,1,3.5,3.2053571,4,2.4375,1.3125,1.6094379,2.6666667,0,4,22,26,10
30,194,0,4,3.3333333,0,2.8571429,1.5714285,0,2.920635,0,7,22,29,10
31,8034,0,4.1578946,2.9097745,1,2.6842105,1.3684211,0.69314718,2.7719297,1,6,15,21,8
32,199,0,2.5999999,3.0057142,1,2.76,1.64,0.69314718,2.96,0,7,23,30,10
33,1532,0,3.3684211,2.443609,-1,3.5263157,1.2105263,1.3862944,3.5789473,1,8,20,28,10
34,525,1,3.2380953,2.8775511,3,3.0476191,1.1428572,1.3862944,2.1904762,0,6,19,25,10
35,827,0,3.3499999,2.6785715,0,3.6500001,1.35,1.0986123,2.5166667,1,7,24,31,10
36,141,0,3.7368422,2.7819548,0,2.6842105,1.3157895,1.0986123,2.8596492,1,7,20,27,10
37,1731,0,4.0952382,3.0204082,0,2.1428571,1.4761904,0,2.1746032,0,6,22,28,8
38,321,1,4.0500002,3.0214286,-1,2.9000001,1.55,0.69314718,2.7166667,1,6,27,33,12
39,34,0,3.5555556,2.8465607,-1,2.7777777,1.3333334,0.69314718,2.9012346,1,8,20,28,10
40,638,0,3.1578948,2.774436,0,2.7368422,1.4210526,1.0986123,1.8421053,0,7,26,33,10
41,354,0,3.8,2.6571429,-2,2.45,1.15,1.0986123,3.1833334,1,9,22,31,10
42,5569,0,3.8888888,2.5608466,-2,2.9629629,1.2962962,1.9459101,2.8271606,1,6,25,31,12
43,2929,0,3.5769231,3.1923077,-1,2.4615386,1.3076923,0.69314718,3.025641,1,10,24,34,12
44,386,0,2.9130435,3.173913,0,3.347826,1.9130435,1.0986123,2.8695652,0,7,28,35,12
45,292,1,3.6470587,3.1680672,-2,3.2941177,1.6470588,1.0986123,3.6862745,1,8,26,34,12
46,257,1,3.9444444,3.3412697,2,2.5555556,1.9444444,1.0986123,2.9629629,0,6,28,34,10
47,257,1,3.7368422,2.9097745,-1,2.8947368,1.3157895,1.7917595,2.3157895,1,5,24,29,10
48,261,1,4.1875,3.0625,0,2.25,1.1875,0,2.1875,0,6,21,27,8
49,124,0,3.4615386,3.0659342,1,2.3846154,1.3076923,0.69314718,2.6666667,1,13,19,32,12
50,84,0,2.8181818,3.064935,1,1.9090909,1,0.69314718,1.9393939,0,8,27,35,12
51,4301,0,3.7222223,3.0555556,1,2.7222223,1.5555556,0.69314718,2.6296296,0,10,19,29,10
52,4574,0,3.4545455,3.1103897,0,2.2727273,1.5909091,1.6094379,2.2727273,0,10,20,30,10
53,129,1,3.8076923,3.2692308,3,3.0769231,1.6538461,1.3862944,3.0512819,1,6,25,31,12
54,2722,1,3.4444444,2.984127,1,2.8888888,1.5,0.69314718,2.574074,0,7,27,34,12
55,3846,0,3.6470587,2.9495797,2,2.5294118,1.2352941,1.0986123,2.3333335,0,4,25,29,10
56,1707,0,2.7777777,3.2804232,1,2.4074075,1.6296296,0.69314718,2.3086419,0,5,26,31,10
57,76,1,3.5333333,2.6285715,-2,2.5999999,1.4666667,1.0986123,2.4000001,1,6,20,26,10
58,1008,0,3.5769231,3.2967033,0,2.0769231,1.2307693,0,2.4102564,0,3,30,33,10
59,94,0,2.8125,3.3660715,0,2,1.5625,0,3.1458333,0,6,25,31,12
60,122,0,3.1428571,2.3367348,0,3.2142856,1.4285715,0,3.2142856,1,5,18,23,8
61,1009,1,3.7083333,3.2559524,-4,2.4166667,1.7916666,1.9459101,2.6527779,1,7,21,28,10
62,2078,0,3.3,3.2857144,0,2.5,2.1500001,0,3.5333333,0,7,20,27,10
63,3295,0,3.3809524,3.0204082,0,1.9047619,1.5714285,1.0986123,2.15873,1,6,17,23,8
64,1047,0,3.5714285,3.0884354,-1,2.6190476,1.4761904,0.69314718,2.4603174,0,3,19,22,8
65,202,0,3.4782608,2.9192548,2,3.6086957,1.3478261,1.0986123,3.2028985,1,7,25,32,12
66,1581,0,3.75,3.0857143,-1,2.9000001,1.4,0.69314718,2.7833333,0,8,25,33,12
67,911,1,4,3.1825397,1,2.8888888,1.1666666,0.69314718,2.9074073,1,5,17,22,8
68,12743,0,2.8421052,2.887218,1,2.6315789,1.3157895,1.3862944,2.122807,1,7,23,30,10
69,590,0,3.875,2.4821429,-1,2.875,1.4375,0.69314718,2.9166667,1,6,24,30,10
70,630,1,3.2777777,3.1269841,-2,2.8888888,1.4444444,1.0986123,2.2037036,0,7,16,23,8
71,261,0,3.28,2.8285713,1,2.4400001,1.24,0.69314718,2.8400002,1,5,25,30,10
72,556,1,4.1290321,3.359447,-4,2.7419355,1.516129,1.6094379,2.8602152,1,5,20,25,10
73,7731,1,4.1764708,3.3445377,2,2.9411764,1.3529412,1.0986123,2.7254901,0,10,21,31,10
74,927,0,3.6956522,2.4534161,-2,3.2608695,1.4782609,1.0986123,3.2173913,1,5,21,26,10
75,106,1,3.5625,2.8928571,0,2.5,1.25,1.0986123,2.375,0,6,17,23,8
76,337,0,3.6470587,2.4285715,-1,3.4705882,1.5294118,0.69314718,3.0784314,0,5,27,32,10
77,57,0,3.8666666,2.352381,-3,3.4000001,1.6,1.3862944,2.511111,1,7,20,27,10
78,1242,1,3.5,2.6111112,-2,3.0555556,1.3333334,1.0986123,2.9444444,1,8,26,34,12
79,147,0,3.125,3.0446429,1,2.5625,1.6875,0.69314718,2.6666667,0,5,27,32,12
80,284,0,2.6470587,3.3865545,0,2.1764705,1.5294118,0,2.2156863,0,7,22,29,10
