art_id,self,value,mentalizing_reduced
1,6.666666667,7.75,8.166666667
2,11.75,13,12
3,10.41666667,9.75,8.833333333
4,7.625,7,6.75
5,8.545454545,8.636363636,9.272727273
6,12.5,12.14285714,12.92857143
7,8.083333333,8.25,8.833333333
8,8.857142857,9.142857143,8.428571429
9,10.72727273,10.18181818,10.90909091
10,11.91666667,13.16666667,14.83333333
11,11.18181818,10.45454545,10.72727273
12,11.77777778,9.222222222,13
13,13.14285714,11.57142857,13.42857143
14,12.36363636,13.45454545,13.81818182
15,11,10.90909091,10.54545455
16,11.75,10.5,8.25
17,10.66666667,12,10.16666667
18,10.18181818,9.454545455,8.454545455
19,9.857142857,9.5,9.857142857
20,10.36363636,11.45454545,10.27272727
21,12.22222222,11.77777778,13.22222222
22,11.77777778,14.66666667,13.33333333
23,7.5,6.75,9.125
24,11.81818182,12.90909091,10.45454545
25,12.125,11,13.125
26,10.4,11.2,7.6
27,5.125,8.25,8.5
28,11.2,11.3,11.3
29,11.44444444,10.66666667,9.222222222
30,10,9.888888889,7.111111111
31,14.5,16,12.375
32,9.818181818,7.909090909,9.909090909
33,8.555555556,9.888888889,10
34,11.33333333,11.66666667,10.25
35,10.07692308,9.692307692,9.692307692
36,8.75,9.5,9
37,10.875,10,11.125
38,8.846153846,10.07692308,9.384615385
39,12.45454545,12.36363636,12.81818182
40,10.8,10.9,11.9
41,8.727272727,7.727272727,7.727272727
42,12.33333333,10.77777778,12.66666667
43,11.46153846,13.23076923,10.92307692
44,8.111111111,8.222222222,10.66666667
45,10.22222222,11.55555556,11.77777778
46,12.9,11.1,13.3
47,11.9,13.8,12.8
48,12.75,13.75,14
49,8.7,9,8.7
50,8.1,7.5,7.5
51,6.555555556,8.222222222,6.444444444
52,11.375,10.5,11.125
53,9.833333333,8.833333333,9.666666667
54,9.769230769,10.23076923,11
55,13.625,13.875,12.5
56,8.625,8.875,8.5
57,7.909090909,10,8.090909091
58,10.30769231,10.92307692,9.307692308
59,11,11.25,11.625
60,7.384615385,6.846153846,9.615384615
61,11,12.1,8.7
62,8.571428571,12.14285714,10.14285714
63,13,12.2,10.7
64,9.4,8.4,9.9
65,9.466666667,7.4,10.6
66,8,8.222222222,9.777777778
67,10.875,10,10.625
68,9,8.714285714,10.28571429
69,5.142857143,4.428571429,6.428571429
70,9.6,8.9,8.9
71,11.23076923,9.461538462,12.30769231
72,8.142857143,8.142857143,6.428571429
73,11.45454545,11.54545455,12.54545455
74,13,12.5,7.75
75,10.81818182,11.27272727,10.81818182
76,9.153846154,9.230769231,9.615384615
77,11,10.14285714,10.14285714
78,8.75,8.625,8
79,10.28571429,11,11.14285714
80,13.21428571,10.42857143,10.64285714
