art_id,self,value,mentalizing_reduced,mean_share_rating_rank
1,11,11,7.5,57
2,10,11.71428571,9.714285714,7
3,7.4,7.7,6.9,5
4,10.875,10.5,8.75,35
5,8.636363636,8.272727273,9.454545455,18
6,11.375,12.5,11.75,64
7,9.727272727,8.818181818,8.272727273,50
8,10,9.2,9.4,66
9,11,12.22222222,12,59.5
10,10.44444444,8.333333333,12,40
11,8.142857143,6,7.428571429,31
12,10.46153846,11.46153846,12.15384615,76
13,11,10.9,10.1,44.5
14,9.333333333,10.33333333,9.833333333,23
15,11.5,11.91666667,8.916666667,53
16,11,9.307692308,8.769230769,17
17,10.6,11.7,9.1,48
18,11.45454545,10.90909091,11.09090909,39
19,13.4,13.2,12.2,10.5
20,10.75,10.5,11.75,54
21,13.61538462,13.61538462,15.53846154,44.5
22,11.375,11.5,15.25,73
23,8.333333333,8.75,8.666666667,51.5
24,9.166666667,8.5,10.83333333,46
25,12.07692308,12.61538462,12.38461538,42.5
26,11.25,12.5,10.375,79
27,8.1,7.5,8.9,63
28,10.83333333,12.5,10,19
29,12.23076923,11.84615385,7.923076923,6
30,13.75,12.33333333,11.58333333,9
31,9.9,9.6,11.5,75
32,10.25,10.375,12,27.5
33,10.91666667,9.083333333,10.08333333,31
34,9,9.083333333,10,26
35,8.444444444,10.22222222,12,62
36,4.125,4,4.625,15
37,11.38461538,11.92307692,11.38461538,13
38,8.4,6.2,7.3,20
39,8.714285714,7.571428571,8.142857143,1
40,12.3,11.6,13,41
41,10.55555556,7.222222222,9.222222222,21
42,12.44444444,14.77777778,13.88888889,51.5
43,12.1,11.4,10.6,38
44,12,12.5,12.25,55
45,9.727272727,11.90909091,11.54545455,78
46,9.666666667,10.5,10.5,59.5
47,8.8,8,7.4,23
48,10.7,9,9.4,31
49,8.166666667,8.666666667,9.583333333,12
50,9.25,7.333333333,11,48
51,10.57142857,10.85714286,7.428571429,77
52,7,8.916666667,8,70
53,8.846153846,7.769230769,9.923076923,68
54,11,12.81818182,12.63636364,71
55,14.75,13.08333333,13,35
56,8.25,11,8.375,37
57,8.4,9,7.7,4
58,9.333333333,9.333333333,10.22222222,66
59,11.78571429,11.35714286,11.64285714,25
60,8.571428571,7.857142857,8.714285714,14
61,11,11.81818182,9.181818182,69
62,10.57142857,13.57142857,10.71428571,74
63,10.09090909,9.636363636,9.727272727,8
64,9.555555556,11.66666667,11.55555556,23
65,13.44444444,12.22222222,13.11111111,27.5
66,13.1,14.4,12.8,57
67,9.833333333,11.41666667,11.58333333,33
68,10.90909091,9.818181818,11.54545455,35
69,4.7,5.1,6.5,80
70,12.58333333,13.91666667,11.75,66
71,7.333333333,7.833333333,9,3
72,12.66666667,13.11111111,11.33333333,72
73,9.555555556,8.444444444,9.555555556,48
74,11.33333333,11.26666667,10.86666667,10.5
75,8.125,8.125,9.875,16
76,10.5,9.9,10.1,29
77,13.66666667,13.16666667,12.16666667,61
78,8,7.285714286,8.714285714,2
79,7.25,7.166666667,7.833333333,42.5
80,11.9,11.8,9.9,57
