art_id,self,value,mentalizing_reduced
1,0.164167762,-0.027273718,-0.397421393
2,-0.024859147,0.059922738,-0.121592525
3,-0.445244285,-0.419263299,-0.545952264
4,0.097513993,0.116754903,-0.203410383
5,-0.172767805,-0.227573573,-0.102458608
6,0.081320373,0.284324534,0.279738342
7,-0.113727291,-0.354613769,-0.46606192
8,-0.132751512,-0.162654001,-0.172444142
9,0.224018483,0.332721147,0.299370337
10,0.204446765,-0.046180308,0.429131461
11,-0.343319815,-0.704602201,-0.329420122
12,0.044549516,0.200448705,0.336839356
13,0.055513359,0.079379524,-0.114900761
14,0.012849112,-0.020985435,-0.041610689
15,0.175587797,0.280202881,-0.171448002
16,0.058592615,-0.180977454,-0.171177487
17,-0.205231718,0.079794325,-0.37621934
18,0.174344122,0.112708246,0.029696056
19,0.449020414,0.500218635,0.274440795
20,0.050323252,-0.004549121,0.005134645
21,0.433173526,0.435881579,0.906329743
22,0.377662196,0.489629872,1.018463374
23,-0.29191606,-0.313139245,-0.310053477
24,-0.210576605,-0.317279811,-0.017460746
25,0.490980416,0.566387385,0.42408044
26,0.429159677,0.668462093,0.213446555
27,-0.423842092,-0.452027367,-0.358879582
28,0.284388703,0.516139358,-0.033926098
29,0.397041041,0.2280877,-0.189780488
30,0.526363734,0.288028899,0.293110018
31,-0.047154479,-0.100823961,0.209899386
32,0.005451252,0.077051819,0.444830971
33,0.060918957,-0.186784372,0.11207493
34,-0.047052594,-0.272593737,-0.16427916
35,-0.155812103,0.097177865,0.44390256
36,-1.075860091,-1.289422719,-1.079369551
37,0.169006745,0.209218631,0.189103948
38,-0.203285641,-0.511014279,-0.292089695
39,-0.365087418,-0.507198722,-0.361617909
40,0.219778737,0.164688373,0.364102636
41,0.119710684,-0.475819181,-0.125324846
42,0.28480754,0.712875833,0.532677122
43,0.321374824,0.169322587,0.101077874
44,0.106098696,0.297476319,0.300099767
45,-0.170444178,0.26154775,0.197468672
46,-0.081920505,-0.061958483,0.034179196
47,-0.382729016,-0.725964822,-1.000491113
48,0.132861953,-0.101904945,0.005967444
49,-0.419826524,-0.272244766,-0.184326203
50,-0.265369549,-0.436582212,0.0806169
51,-0.081027154,-0.047241762,-0.576156624
52,-0.447924208,-0.286683689,-0.322316569
53,-0.302051792,-0.329001617,-0.001549345
54,0.046235789,0.272738028,0.395024418
55,0.633450981,0.44221331,0.37598576
56,-0.337258179,0.084208265,-0.261100471
57,-0.192356772,-0.078921495,-0.326081093
58,-0.252564227,-0.277618098,-0.198742062
59,0.211230693,0.253227549,0.18351809
60,-0.392349543,-0.597366332,-0.315569321
61,0.166864645,0.303922654,-0.158688326
62,0.071525972,0.584924672,0.153749978
63,-0.125085935,-0.165017647,-0.145964726
64,-0.062204492,0.242469413,0.118848955
65,0.322972956,0.227964989,0.374445914
66,0.36047973,0.473575848,0.347834859
67,-0.026317944,0.228263118,0.289104467
68,0.047129435,-0.044729409,0.066522447
69,-0.940272984,-0.790124965,-0.686591151
70,0.41295662,0.636153201,0.321641086
71,-0.649635738,-0.410737145,-0.328257862
72,0.348886316,0.465711087,0.145868332
73,-0.142680973,-0.308722364,-0.163190451
74,0.063634781,0.160498248,-0.00291895
75,-0.5284666,-0.55200223,-0.109623207
76,0.01883794,-0.000756382,-0.208573397
77,0.653153512,0.486606447,0.297392098
78,-0.182312047,-0.364373876,-0.181237041
79,-0.439568952,-0.523035496,-0.474553879
80,0.359710696,0.238142214,-0.003506705
