art_id,self,value,mentalizing_reduced
1,0.796371091,0.851139852,0.727850059
2,0.080572821,0.561087557,0.226994115
3,NA,NA,NA
4,-0.137864452,-0.253984888,-0.39650714
5,-1.069856301,-1.221635569,-0.912063552
6,0.306562588,0.449827886,0.568014159
7,-0.171531864,-0.324251159,-0.134839805
8,0.138382027,0.177306827,0.01686752
9,0.626603515,0.473554605,0.361702831
10,0.867591884,0.956948196,0.7140333
11,-0.233592492,-0.514838734,-0.396236626
12,0.321022432,0.208101879,0.671283985
13,-0.612039455,-0.701866333,-1.084316021
14,-0.40529751,0.110503747,-0.353533277
15,0.018517473,0.073295671,-0.112976009
16,0.085656958,-0.238782601,0.06972782
17,0.730511989,0.803015827,0.70227223
18,-0.281611158,-0.162101981,-0.146364538
19,0.070105344,0.626796283,0.539027746
20,-0.028633355,-0.004424037,-0.171421136
21,-0.231614174,0.24108074,-0.053094324
22,0.331315177,0.514163308,0.14260655
23,0.119744726,0.053073926,0.294034776
24,-0.264798072,-0.219062838,-0.01861287
25,0.234179226,0.030231784,0.042737557
26,0.822401865,0.957229689,0.412887359
27,-0.1226027,0.242071072,-0.104591294
28,-0.543086037,-0.460162428,0.269054836
29,-0.445623187,-0.169022401,-0.728976061
30,-0.103059362,-0.28423678,-0.60087659
31,0.747036583,0.744295023,0.409189796
32,0.361610308,0.039104621,0.269387238
33,-0.397020306,-0.449410553,-0.309073323
34,-0.267668119,-0.380251437,-0.051042481
35,0.09287098,0.276526547,0.08083165
36,-0.063541228,-0.526022268,-0.279676879
37,0.594691211,0.596193648,0.645432524
38,-0.236041628,-0.082171161,0.003292949
39,0.254655489,-0.024925733,0.13658798
40,-1.136653836,-0.693734541,-0.971537184
41,0.254207919,0.658222378,0.154238775
42,0.070038551,0.379208243,0.508209661
43,-0.497636351,-0.616580192,-0.693799459
44,NA,NA,NA
45,-0.148204671,0.090345169,-0.080378761
46,-0.153718736,-0.642194488,-0.497754666
47,0.397757589,0.047724759,0.198190322
48,-0.088565418,0.100057519,-0.105064093
49,0.594014041,0.156946136,0.624042481
50,0.200055106,0.209052134,0.282189464
51,NA,NA,NA
52,-0.337299408,-0.032580283,-0.077533351
53,-0.620061519,-0.539397384,-0.319433839
54,0.291899364,0.267741284,0.487855914
55,0.142701995,0.234508605,0.131543482
56,-0.130134765,0.034029685,0.063089494
57,0.468968425,0.063047323,0.204856604
58,-0.775039729,-0.512198739,-0.724875101
59,-0.054467422,-0.043086919,-0.167742986
60,0.733538555,0.343027565,0.643867578
61,0.229647371,0.379746336,0.240858651
62,0.67097055,0.563303155,0.669709885
63,-0.238308231,-0.059063333,-0.350709339
64,0.531633854,0.691807831,0.600166181
65,-0.466897957,-0.539373713,-0.260233573
66,-1.282094345,-1.416307993,-1.412143012
67,0.299974081,0.183012613,0.13414379
68,0.186717093,0.0279586,0.19715783
69,-0.197334777,-0.316930592,-0.103564164
70,0.059882706,0.167286807,0.050565684
71,-1.07056659,-0.63147932,-0.459767533
72,0.015251536,-0.011157506,0.20640857
73,0.332563564,0.567185715,0.508045592
74,-0.069413115,-0.094336403,0.033393532
75,0.413601767,0.398064553,0.409488147
76,-0.031800801,0.133783532,0.316540072
77,0.300263795,0.070018139,0.089240224
78,NA,NA,NA
79,0.170266139,0.574273734,0.273705706
80,0.446633903,0.081963845,0.234664191
